Ngo Name,Mobile No,Email,City
RS Shiksha Avam Samaj Kalyan Samiti,9329718686,rkpachori2010@gmail.com,"755, Gwalior, MADHYA PRADESH"
Vivekanand Paryavaran Evam Arogya Mission,9431429483,vpamindia@gmail.com,"80/1998 - 99, Patna, BIHAR"
sadayva samarpit,9955332305,varanya_connect@rediffmail.com,"1696/2009-110, NAWADA, BIHAR"
Awadh Sewa Sansthan,9450022769,awadh_ss@yahoo.co.in,"096, Lucknow, UTTAR PRADESH"
MAHILA MANDAL BARMER AGOR,9414107446,mmbarajasthan@yahoo.com,"30/BARMER/90-91, Barmer, RAJASTHAN"
RURALDEVELOPMENT COMMUNITY CENTRE,9938140889,ruraldevlopment@rediffmail.com,"19216/16OF1991-92, CUTTACK, ORISSA"
Divyajyothi Vidya Kendra,9886384609,presidentdjvk@gmail.com,"79/91-92, Bangalore Rural, KARNATAKA"
Swarnim Sansthan,9795406632,swarnimsansthan@gmail.com,"1415/95-96, Lucknow, UTTAR PRADESH"
Nature Conservation And Human Welfare Society,9411018480,nirmal.594@rediffmail.com,"732, Etawah, UTTAR PRADESH"
Human Welfare Organisation,9425012986,hwo_social@rediffmail.com,"7095, Bhopal, MADHYA PRADESH"
Animators for Rural Multipurpose Development Society,9443337218,armdsorg@gmail.com,"50/1990, Villupuram District, TAMIL NADU"
VICTORY INDIA CHARITABLE TENT OF RESCUE YACHT,9849685577,govindarajuvictory@gmail.com,"379/1989, KUPPAM, ANDHRA PRADESH"
Raghunathpur Spot Light Society,3221256533,raghunathpurspotlightsociety@yahoo.com,"S/IL/23448 of 2004-05, Kolkata, WEST BENGAL"
Sir Chhotu Ram Yuva Club,9992156331,scrycberi@gmail.com,"06/15-B/70, Beri, HARYANA"
shri gyan gangotri vikas sanstha,9868430219,shrigyangangotrisanstha@gmail.com,"S/43658, Delhi, DELHI"
A G R A,9848324044,agraindiaatp@gmail.com,"987/1995, ANANTAPUR, ANDHRA PRADESH"
ADI GRAM SAMITI,9811171752,info@agsamiti.org,"S-24549, NEW DELHI, DELHI"
THE HUMAN DEVELOPMENT,9437153806,thdorissa@gmail.com,"22163/144, KALAHANDI, ORISSA"
Socio Economic Development Programme SEDP,9433323944,sedpheadoffice@gmail.com,"S/16095-1975-1976, Kolkata, WEST BENGAL"
ASTHA GRAM SEVA,9931392593,asthagramseva@rediffmail.com,"311, JAMUI, BIHAR"
Working Womens Forum India,9380692853,wwforum@eth.net,"285 of 1982, Chennai, TAMIL NADU"
Aman Social Development Organisation,9452290820,amansdo@gmail.com,"366, Jaunpur, UTTAR PRADESH"
Tarun Jan Kalyan Samiti,9425027585,tarunjankalyan@gmail.com,"20618/88, Bhopal, MADHYA PRADESH"
Developmental Association for Human Advancement,9415054079,dehatvo@gmail.com,"370, Bahraich, UTTAR PRADESH"
Huyel Langlon Thang Ta Association Manipur,9862564620,thangtatradition@rediffmail.com,"22/M/SR of 1987, Imphal, MANIPUR"
Shree Amar Sanskar Kalyan Kendra,9430768685,rksanskar04@gmail.com,"216, Bokaro, JHARKHAND"
Shrimati Narsabai Mahila Mandal,9850796106,snmm@rediffmail.com,"Mah/287/85/Nanded, Nanded, MAHARASHTRA"
Nature and Underdeveloped people Reformatory Society,7896539331,nur.society@rediffmail.com,"RS/NG/254/G/72 of 2007, Guwahati, ASSAM"
Rural Education And Welfare Society,9953395212,rews100@yahoo.co.in,"S/20927, New Delhi, DELHI"
youthclubofbejjipuram,9490162667,youthclubofbejjipuram@gmail.com,"61, Srikakulam, ANDHRA PRADESH"
Shanti Shaikshik Evam Samajik Kalyan Sansthan,9450867000,shantishaikshik@gmail.com,"1826, Lucknow, UTTAR PRADESH"
Womens Agency for Development Activities,9856722891,thewadamanipur@gmail.com,"681/ID/SR/89(M), Imphal, MANIPUR"
surya sewa sansthan,9415692960,nandkumarmishra99@gmail.com,"137/1996-97, haidergarh, UTTAR PRADESH"
BACHPAN FOUNDATION,9026408210,bachpan.foundation@gmail.com,"63, Barabanki, UTTAR PRADESH"
SOMESWAR RURAL SOCIETY,9733827125,shantimoyde@gmail.com,"S/47975, Amta, WEST BENGAL"
RADHABALLAVCHAK CHIRANTAN SANGHA,9434801649,radha.ballav@rediffmail.com,"S/IL/33342 of 2005-06, TAMLUK, WEST BENGAL"
Rajasthan Navchetana Samiti,9413927173,Rns1996@rediffmail.com,"292, Nagaur, RAJASTHAN"
Cyber Information Technology Society,9212232030,niccomputer@gmail.com,"S-31618, Delhi, DELHI"
CHAITANYA BHARATHI,9440343498,cbvzm091@gmail.com,"267/91, VIZIANAGARAM, ANDHRA PRADESH"
SAMRUDDI MUTLIPURPOSE DEVELOPMENT SERVICE SOCIETY,9902573627,samruddi2002@yahoo.com,"S.O.R NO123/03-04, koppal, KARNATAKA"
R M EDUCATIONAL TRUST,9941131357,tatti.chennai@gmail.com,"305/1993, Chennai, TAMIL NADU"
Vikas Vihar,9431216322,vikasvihar@gmail.com,"338/1990-91, Chapra, BIHAR"
Re BirtH Education and Research Foundation,9825066009,rerfindia@gmail.com,"F/3731/MEHSANA, Visnagar, GUJARAT"
Srujana Welfare Association,9490417684,srujanangoindia@yahoo.co.in,"1295, Chodavaram, ANDHRA PRADESH"
JAYBHARATI FOUNDATION AHMEDADAD,9879047962,jbfabd66@gmail.com,"F/7085, AHMEDABAD, GUJARAT"
DIVYADHYAN MAHILA BAHUUDDESHIYA VIKAS SANSTHA,9822361878,divya_mahila@rediffmail.com,"MAHA/164/2003, AKOLA, MAHARASHTRA"
Jan Shikshan Sansthan,9991310000,jssrohtak@rediffmail.com,"10, Rohtak, HARYANA"
SHRI GIRRAJ MAHARAJ BALWADI JHOOLAHAR SAMITI,9329529946,sgmbjsmp@gmail.com,"12738, SHIVPURI, MADHYA PRADESH"
Deshkal Society,9210467826,deshkal@gmail.com,"S/27457, Delhi, DELHI"
Janta Sewa Samiti,9454272100,jss_bst2006@yahoo.com,"1475/1990-91, Basti, UTTAR PRADESH"
GYAN SAROVAR,9431644190,gyansarovar.org@rediffmail.com,"594/90-91, SONPUR, BIHAR"
The Sidhardha Educational and Rural Development Society,8106844504,serdsindia@yahoo.in,"475/1992, GIDDALURU, ANDHRA PRADESH"
PRANGAN,9835218087,prangan.pnm@gmail.com,"43/1983-84, PATNA, BIHAR"
JAYA PRAKASH MEMORIAL CENTRE,7587757575,info@jpmcindia.org,"17224, Kirandul, CHHATTISGARH"
MANAV VIKAS SANSTHAN,9934038018,manavsunil@gmail.com,"742/2006-07, MADHEPUR, BIHAR"
ASHOKNAGAR NATYAANAN,9433050102,natyaanan09@gmail.com,"S/85760 of 1996-1997, KOLKATA, WEST BENGAL"
Shri Barkhandi Shiksha Prasar Samiti,,barkhandi12150@gmail.com,"12150, Gram Kherla Sabalgar, MADHYA PRADESH"
Nehru Sports Club Sheopur,,nehrusportclub@gmail.com,"17897, SHEOPUR, MADHYA PRADESH"
Vibeknagar Initiative for Development and Emancipation,9830979124,nandita_vide@yahoo.in,"S/IL/14085, Kolkata, WEST BENGAL"
Ashray Social Welfare Foundation,9898030611,ashray.ngo@gmail.com,"F / 12361 / Ahmedabad, Ahmedabad, GUJARAT"
Kosish,8789976351,ratuldam@yahoo.com,"448, Bokaro Steel City, JHARKHAND"
Samarpan Jan Kalyan Samiti,9919139321,sjkskonch@gmail.com,"162/87-88, Konch, UTTAR PRADESH"
Green Earth,9468315618,greenearthngo.2006@gmail.com,"HR00686, Kurukshetra, HARYANA"
National Welfare Gramudhyog Sansthan,9839871538,arifkhan.nwgus@gmail.com,"1468, Saharanpur, UTTAR PRADESH"
Venus Vikas Sansthan,9415029155,venusvikassansthan@gmail.com,"1540/1993-1994, Lucknow, UTTAR PRADESH"
NEHRU NAV YUVAK MANDAL,9413526092,nnmk2007@rediffmail.com,"15/BARMER/1998-89, BARMER, RAJASTHAN"
Social Care Nav Jagrati Mahila Mandal,9752799114,scnjmm@gmail.com,"4138/96, Chhindwara, MADHYA PRADESH"
Basic Utthan Evam Gramin Sewa Sansthan,9455542543,buagss@gmail.com,"1127/ 2005-06, Barabanki, UTTAR PRADESH"
Shri Shiksha Samiti,7489014040,shrishiksha2@gmail.com,"20256, Vijaypur, MADHYA PRADESH"
All Orissa Research Institute for Developmentof Women Movement,9861189430,aridowm@gmail.com,"19667/99 of 1994-95, Dhenkanal, ORISSA"
Native Education and Employment Developing Society,9329556702,needsorg1998@gmail.com,"5535, Bhopal, MADHYA PRADESH"
Simang Valley Women Welfare Society,9711817223,simangvalleywss@gmail.com,"SR/ITA/634/99, BELONG, ARUNACHAL PRADESH"
Shiksha Bharti,9450330777,shikshabharti_2001@yahoo.com,"2266/2000-2001, Lucknow, UTTAR PRADESH"
Society for Poverty Eradication Progrmmes spep,9347093339,sivannarayanap9@gmail.com,"588/1998, ongole, ANDHRA PRADESH"
Sugam Jagriti,9430891956,sugam_org@yahoo.co.in,"220, ISLAMPUR, BIHAR"
Neelam Mahila Evam Bal Vikas Samiti,8858205793,virendramishar66@gmail.com,"611/1996-97, Gonda, UTTAR PRADESH"
Manav Vikas Parishad,9451817866,manavvpindia@gmail.com,"1627/1991-92, Barabanki, UTTAR PRADESH"
JAN SHIKSHAN SANSTHAN,9695804440,jssallahabad1@gmail.com,"274/97-98, Allahabad, UTTAR PRADESH"
EDUCATED UNEMPLOYED WELFARE SOCIETY,9435010101,nidaan@gmail.com,"RS/DIB/255/A/54 OF 2004-05, DIBRUGARH, ASSAM"
People s Arts and Dramatic Association,9436274559,padaculture_top@yahoo.com,"488/Imphal 1986, Imphal, MANIPUR"
Taralabalu Rural Development Foundation,9449856876,dvgtkvk@yahoo.com,"SOR.85/1982-83, SIRIGERE, KARNATAKA"
National Institute of Rural Development and Environmental Science NIRDES,9437622291,nirdesorissa@yahoo.co.in,"4845, BERHAMPUR, ORISSA"
Sustainable Human Development Association,9415856712,shdagkp@gmail.com,"881, Gorakhpur, UTTAR PRADESH"
JAN VIKAS EVAM KALYAN SANSTHA,9430901461,jvks_patna75@ovi.com,"740, Patna, BIHAR"
SAMAJIK VIKAS SANSTHAN,8578847905,svspure1957@gmail.com,"128, MADHUBANI, BIHAR"
The Development for Womens Programme Centre,9402965640,dwpcorgmanipur@gmail.com,"140 of 1997-98, Thoubal, MANIPUR"
SARV JAN GRAMIN VIKAS SANSTHAN,9878099728,sarvjan.ngo01@gmail.com,"Regd. No.419 , dated 24 Februa, GURDASPUR, PUNJAB"
Samudaik Kalyan Evam Vikas Sansthan,9838593884,skvs123@yahoo.com,"1187, Kushinagar, UTTAR PRADESH"
jai bhavani gram vikas bahuuddeshiya sevabhavi sanstha,9422471767,jaibhavanisanstha@redifmail.com,"mah/220/2001, Latur, MAHARASHTRA"
Society For Humanitarian Advancement With Key Technological Initiative,9438555452,shaktibls@sify.com,"7954-81, Balasore, ORISSA"
Helpage Youth Foundation,9415109549,helpageyouthfoundation@gmail.com,"173/2005-2006, Lucknow, UTTAR PRADESH"
gurukul shiksha awam grameen vikas sansthan,9335904040,gurukulshiksha@gmail.com,"1073, lucknow, UTTAR PRADESH"
Haryana Nav Yuvak Kala Sangam,9896250683,hnyksrtk@rediffmail.com,"716, Meham, HARYANA"
sushrutha arogya pratistana,9740111980,sushruthaa@gmail.com,"DVG S257 2007-08, DAVANAGERE, KARNATAKA"
Chaubisee Vikas Sangh,9315595155,chaubiseevikassangh@gmail.com,"801, Meham, HARYANA"
INSTITUTE OF YOUTH AND WOMENWELFARE,9439621646,iyww98@gmail.com,"046/98, BHUBANESWAR, ORISSA"
Vidya Dham Sansthan,9415047970,vidyadhamsansthan@gmail.com,"55/1992-93, Faizabad, UTTAR PRADESH"
Gopali Youth Welfare Society,9002863514,gywsociety@gmail.com,"23893, Kharagpur, WEST BENGAL"
bilal rural and artisan development organisation,9866573037,bradoskills@gmail.com,"295 of 1993, Hindupur, ANDHRA PRADESH"
collective rural operation for the poor,9431079457,crop.2009@rediffmail.com,"6, arwal, BIHAR"
Swami Vivekanand Shiksha and Samaj Kalyan Samiti,9450559813,kksvssks@rediffmail.com,"605/1993-94, Sant Kabir Nagar, UTTAR PRADESH"
Sanghadip,9436476658,sanghadip@yahoo.co.in,"2883, Dharmanagar, TRIPURA"
Aulia Adhyatmik Anushandhan kendra Aulia Darbar,9801067668,auliakendera@yahoo.in,"523/90-91, Vaishali, BIHAR"
THE MIRROR,9861049671,themirror2002@yahoo.co.in,"6605-14, Puri, ORISSA"
Vatsalyasindhu Mahila Bahuuddeshiya Sevabhavi Sanstha,9422471767,vatsalyalatur@gmail.com,"MAH/8487/Latur, Latur, MAHARASHTRA"
Shyambazar Blind Opera,9433806233,blindopera@yahoo.co.in,"S/88042 of 1997-98, Kolkata, WEST BENGAL"
indirapriyadarsiniwomenswelfareassociation,9885013699,ipwwa1998@yahoo.com,"2701, JADCHERLA, TELANGANA"
Bhagirath Sewa Sansthan,9810006150,bssksiat@yahoo.com,"630, Ghaziabad, UTTAR PRADESH"
Vikas Mitra,9425590817,vmcgbastar@rediffmail.com,"5021, Kondagaon, CHHATTISGARH"
Nisharg,9198221400,nishargindia@gmail.com,"70/2003-04, Jaunpur, UTTAR PRADESH"
Society for Development and Training,9419108380,RIMCSKath@gmail.com,"4794-S of 2005, Kathua, JAMMU & KASHMIR"
Adarsha Seva Sangathana,9437287921,bcrout_ass@rediffmail.com,"DKL1946/289, Bhubaneswar, ORISSA"
SAPTAYAN,9874262004,saptayan@yahoo.co.in,"S-14810, KOLKATA, WEST BENGAL"
Chivalry Poverty Alleviation Development Association,9612322371,cpadamao@gmail.com,"472/SR/SPT/96, Imphal, MANIPUR"
Satat Sewa Sansthan,9415669236,satatsewasansthan@gmail.com,"1819/2003-04, Lakhimpur, UTTAR PRADESH"
Baruna Tarun Sangha,9851328059,btsangha@yahoo.in,"S/53577, MIDNAPORE, WEST BENGAL"
kondammaltrust,9444527328,kondammaledumeds@gmail.com,"1447/2005, chennai, TAMIL NADU"
BALANANDARA TRUST (R),9483391663,balanandanatrust@gmail.com,"24-9394, Sagar, KARNATAKA"
Kartavya Shila Mahila Evam Bal Vikas Sansthan,9889334485,ksmbvs@rediffmail.com,"771, Lucknow, UTTAR PRADESH"
Khadi Pragati Evam Gramutthan Sansthan,8423040008,khadipragati@rediffmail.com,"3707/1989-90, Bahraich, UTTAR PRADESH"
Janta Gramin Sewa Sansthan,7398581723,jantakhld@yahoo.com,"816/1998-99, khalilabad, UTTAR PRADESH"
Sadhana Society for the Mentally Handicapped,9849098749,sadhanawelfare@gmail.com,"180/96, Hyderabad, ANDHRA PRADESH"
Vimarsh Vikas Sansthan,9936411438,vimarshvikassansthan@gmail.com,"531/2007-08, Lucknow, UTTAR PRADESH"
integrated Rural Development Agency,9856232257,irdaimphal@rediffmail.com,"121, Imphal, MANIPUR"
World Wide Fund for Nature,9810086520,sjaykumar@wwfindia.net,"E4359 (Bombay), Delhi, DELHI"
SHAFQUAT EDUCATIONAL SOCIETY,9334954236,ahmadshabih1@gmail.com,"122, PURNEA, BIHAR"
AVKS FOUNDATION,9443212339,avksfoundation@gmail.com,"19/2005, chidambaram, TAMIL NADU"
Astitva Samajik Vikas Sanstha Pandhurna,9424949748,astitvapnd@gmail.com,"JC7228, pandhurna, MADHYA PRADESH"
ORISSA VOLUNTARY HEALTH ASSOCIATION,9337361562,ovha2008@gmail.com,"10354/679-1976-77, BHUBANESWAR, ORISSA"
Action for Resource Development in Health Education by youth association ARADHYA,9213429305,aradhya_2004@rediffmail.com,"S-34267, NEW DELHI, DELHI"
Renaissance,9038746632,renaissancetroup@rediffmail.com,"S/10917 of 1971-72, Kolkata, WEST BENGAL"
Gram Vikas Youvak Mandal Barahalli,9423440361,snss@rediffmail.com,"Mah/119/86 Nanded, Nanded, MAHARASHTRA"
Serva Sukhayay Ujjawal Gramoudyog Sewa Sansthan,9838007878,sansartarak@gmail.com,"2115/1995-96, Basti, UTTAR PRADESH"
RURAL INFORMATIVE AND SOCIAL HARMONY ACADEMY,9794096018,1998risha@gmail.com,"1837/1997-1998, Sultanpur, UTTAR PRADESH"
Bhartiya Lok Kalyan Sansthan,9431389184,blks.bms@gmail.com,"0117, Ranchi, JHARKHAND"
MY HEART,9437199186,myheartbbsr@hotmail.com,"3492-167-1991-92, Bhubaneswar, ORISSA"
Jyoti Gramodyog Sewa Sansthan,9452640319,jyotigramodyog@rediffmail.com,"596/1998-99, MIRZAPUR, UTTAR PRADESH"
NATIONAL PEACE UNISON,9437132654,peaceunison@hotmail.com,"1923-224 OF 1993-94, BALANGIR, ORISSA"
AL ZAFAR MEMORIAL EDUCATION TRUST,9431076873,jhasan.azmet@gmail.com,"533 YEAR 1998-99, KISHANGANJ, BIHAR"
RANGTAL THEATRE,9831346487,mime_ratan2006@yahoo.com,"S/1L-40177, HALISAHAR, WEST BENGAL"
Development in Rural Embossment And Motivation Society,9997846650,dreams1109@rediffmail.com,"1224/2004-2005, Gopeshwar, UTTARAKHAND"
SURYA VIKAS SAMITI,9918598136,rajakhan75@gmail.com,"95/1998-99, LUCKNOW, UTTAR PRADESH"
Arasan Rural Development Society,9944000787,arasankalakad@yahoo.com,"27/88, Kalakad, TAMIL NADU"
Organization for Rural Survival,9612536271,orsbelonia@gmail.com,"2689, Belonia, TRIPURA"
Aastha Welfare Society,9425927859,aasthaknw@rediffmail.com,"IND/5809/2001, Khandwa, MADHYA PRADESH"
MANAV KALYAN AVAM GRAMIN VIKAS SANSTHAN,9450695006,mkgvsup@gmail.com,"598, KANNAUJ, UTTAR PRADESH"
The Rural Women Society,9862134782,ruralwomensocietykodom1@gmail.com,"1923 of 1976, imphal, MANIPUR"
Development for Needy Welfare Organisation,9863248936,developmentyouth2010@gmail.com,"5325 of 1984, imphal, MANIPUR"
Shree Narayan Samaj Kalyan Kendra,9431465005,narayansamaj@yahoo.co.in,"526, SASARAM, BIHAR"
TIRHUT LOK SEVA SANSTHAN TLASS,9430241446,profbinodkumarsingh65@gmail.com,"566, SAMASTIPUR, BIHAR"
MANAV SEVASHRAM,9771461612,manav1958@gmail.com,"06, MAHARAJ GUNJ, BIHAR"
Jawahar Jyoti Shiksha evam Gramiya Vikas Samiti,9410870688,jawaharjsegvs@rediffmail.com,"490/1990-91, RAMPUR, UTTAR PRADESH"
Swami Vivekanand Shiksha Samiti,9919211763,svssindia@rediffmail.com,"1505/1970-71, Mirzapur, UTTAR PRADESH"
OXFORD SHIKSHA PRASAR SANTHAN,9415472947,oxfordorg1@gmail.com,"0384, KANNAUJ, UTTAR PRADESH"
Shishu Sarothi,9207049810,shishusarothi@gmail.com,"RS/3469, Guwahati, ASSAM"
Madhya Pradesh Samajik Vikas Sansthan Indore,9425954057,mpsvs.indore@rediffmail.com,"IND/3736/98, Indore, MADHYA PRADESH"
Vidya Vikas Mandal,9422260549,vvms_ndb@rediffmail.com,"MH/154/DHL, Nandurbar, MAHARASHTRA"
MISSION,9861868192,directormission@yahoo.co.in,"5218/52, DHENKANAL, ORISSA"
Shree Ram Charitable Trust,9825443544,srct_bvn@yahoo.com,"E-973, Bhavnagar, GUJARAT"
Women Self Dependent Society And Handicraft Centre,9235720816,nir450@gmail.com,"1133/2001-02, Lucknow, UTTAR PRADESH"
Shabara,9448756273,shabarauk@gmail.com,"116 : 96-97, Sirsi, KARNATAKA"
Grameen Crafts,9415111419,grameencrafts@gmail.com,"143/95-96, Lucknow, UTTAR PRADESH"
Satyabhama Dantabya Chikitsa Kendra,9523223001,sdckorg@gmail.com,"04, Bhojpur, BIHAR"
Bhagwan Buddha Vikas Seva Samiti,9835998615,bvs.ngo@gmail.com,"29, Patna, BIHAR"
Samoohan Kala Sansthan,9451565397,shikharrajshah@gmail.com,"186/1997-98, AZAMGARH, UTTAR PRADESH"
JIBAN BIKASH,9937950729,jibanbikash@gmail.com,"5220/259 OF 1993-1994, NIRAKARPUR, ORISSA"
SP Gramya Vikas Evam Gramodyog Sansthan,9451064311,spgramvikas@rediffmail.com,"2390/1996-97, Lucknow, UTTAR PRADESH"
Elmhirst Institute of Community Studies,9434233370,elminstt@gmail.com,"S/41566 of 1983-84, Santiniketan, WEST BENGAL"
KERALA ASSOCIATION FOR RURAL DEVELOPMENT,9446403533,kardkerala@yahoo.com,"Q545/06, KOLLAM, KERALA"
JUBA JYOTI JUBAK SANGHA,9437153132,jubajyoti@gmail.com,"7985/338 of 1974-1975, Subarnapur, ORISSA"
Shri Deep Jyot Youva Vikas Trust,9376985999,deepjyot.trust@yahoo.com,"F/1249/B.K., GUJ/1263/B.K., Palanpur, GUJARAT"
UNNAYAN,9437137083,unnayanmail@gmail.com,"1030-202 OF 1982-83, PURI, ORISSA"
CENTRE FOR DEVELOPMENT ACTION,9492924600,cdango93@yahoo.com,"3595/93, Kaghaz Nagar, TELANGANA"
Indian Medical and Orphan Fellowship,9618488984,tisc.ngo.in@gmail.com,"277, Nidadavole, ANDHRA PRADESH"
SOCIETY FOR TRAINING AMELIORATION AND RESEARCH,9437441835,starsaranga11@gmail.com,"2974/338 OF 1992-93, DHENKANAL, ORISSA"
Centre for EducationEmpowerment and Rehabilitation Action,9437793527,ceeraorissa@gmail.com,"21673/107, Bhubaneswar, ORISSA"
Jeevan Jyoti Samaj Sewa Sansthan,9450653634,jeevanjyoti.sss@gmail.com,"1456/1994-1995, Lucknow, UTTAR PRADESH"
Jan Jagran Kendra,9431141334,janjagran@gmail.com,"344/81/82, Hazaribagh, JHARKHAND"
CALVARY MINISTRY,9440266946,calvary2007@rediffmail.com,"607/97, KURNOOL, ANDHRA PRADESH"
Training Reconstruction Educational Environmental Society,9440190032,nishma_sadaf@yahoo.com,"42/1992, Nellore, ANDHRA PRADESH"
CARADACommercial Agriculture And Rural Area Development Agency,9437733196,caradabpt@rediffmail.com,"2135/11 OF 1997-1998, BHAWANIPATNA, ORISSA"
Rural Area Development Association,9436845709,malaiyapanmei@gmail.com,"291/M-SR/91, Tamenglong, MANIPUR"
Nawapara Laxminarayan Khadi O Gramonnayan Mahila Sanstha,9775184425,kamaljeetamit@gmail.com,"S76681, nawapara, WEST BENGAL"
Dr Ambedkar Mission,9854088419,drambedkarmission1997@gmail.com,"RS/KAM/240/F/333, Kamrup, ASSAM"
Jan Shikshan Sansthan Subarnapur,9438651528,jsssonepur@gmail.com,"2511/40 of 2009-2010, Subarnapur, ORISSA"
J AND J KARUNODAYA INSTITUTE FOR MENTALLY HANDICAPPED  ORGANISATION,9440156641,karunodayahdk@gmail.com,"893/1993, ELURU, ANDHRA PRADESH"
Shama Vikas Samiti,9431664173,shamavikassamiti@gmail.com,"278, Islampur, BIHAR"
Belgaum Integrated Rural Development Society,9448110979,rmpatil0@gmail.com,"S.No 28/80-81, Gokak, KARNATAKA"
SOCIETY FOR ADVANCEMENT OF RURAL COMMUNITY,9439138466,sarcangul@rediffmail.com,"2602/167, Angul, ORISSA"
VOLUNTARY INITIATIVE FOR COMMUNITYHARMONY AND ALL ROUND REGENERATION,9853843466,vichardhenkanal@gmail.com,"Dkl-3217/134 of 1993-1994, Dhenkanal, ORISSA"
Smt Kaushalya Devi Poorv Madhyamik Vidyalay Samiti,9412616139,vikkimicroo@gmail.com,"1036/1987-88, Etawah, UTTAR PRADESH"
Social Development Educational Association,9935236005,dlgupta@hotmail.com,"439/2005-06, Gorakhpur, UTTAR PRADESH"
Integrated Institute for the Disabled,9473747895,disabledinstitute@rediffmail.com,"61/1994-95, Varanasi, UTTAR PRADESH"
MISSION FOR ANATH DEVELOPMENT AND WELFARE SOCIETY,9411313403,madws_org@yahoo.com,"876, Uttarakashi, UTTARAKHAND"
Janhit Sewa Samiti,9450414237,janhitsewasamiti@yahoo.com,"2066/1989-90, Shahjahanpur, UTTAR PRADESH"
Gramodaya Sewa Ashram,9415119072,gramodaysevaspn@gmail.com,"342/1986-87, Shahjahanpur, UTTAR PRADESH"
MANIPUR INTERGRATED CULTURAL CENDTRE,9612557595,micc364@rediffmail.com,"364, Imphal, MANIPUR"
Institute For Environmental And Social Affairs,9929282896,iesajpr2002@gmail.com,"495, Jaipur, RAJASTHAN"
Sampriti Social Service Organization,9706043306,sampritisociety@yahoo.com,"NLP/257/B/21, Lakhimpur, ASSAM"
Subhiksha Voluntary Organization,8885550212,director@subhiksha.org,"1172/2009, Hyderabad, TELANGANA"
National Institute for Peoples Development Investigation and  Training,9437112246,nipdit@rediffmail.com,"PBN No 109/28 of 1982-83, Phulbani, ORISSA"
Excellent Civil Academy,9355602224,ecakarnal@yahoo.com,"Ref.068/2006-7, Karnal, HARYANA"
NAVARANG,9249785558,navarangpkd@gmail.com,"CA555/2002, Palakkad, KERALA"
SHIKSHA,8285265670,onlyamit14@yahoo.co.in,"1571, Sonpur, BIHAR"
Sri Krishna Adarsh Vidya Mandir,9198631488,skavmftp@gmail.com,"179 , Fatehpur, UTTAR PRADESH"
STATE RESOURCE CENTRE,9444053636,srctn@md3.vsnl.net.in,"273/2007, CHENNAI, TAMIL NADU"
Dilasa Janvikas Pratishthan,9822068923,dilasango@gmail.com,"AF-2458, Aurangabad, MAHARASHTRA"
satybhama youth club,9778424114,mangarajbidyadhar@yahoo.in,"6913/595 of 1995-96, Khurda, ORISSA"
seagull,9678006567,baharul.seagull@gmail.com,"3660, GUWAHATI, ASSAM"
Cine Guild Bally,9433000132,cineguild82@gmail.com,"S/37455 of 1982-1983, Bally, WEST BENGAL"
Assam Rural Socio Economic Development Association,9859014786,Arseda10@gmail.com,"RS/BAR/237/E/152 OF 2002-03, Karagari Gaon, ASSAM"
HUMAN INTEGRATED LIFE AND LEARNINGS,9443686193,hillssurya@yahoo.co.in,"32/1992, Sathyamangalalm, TAMIL NADU"
chil chil asian mission society,9899329550,project@chams77.com,"212/M/SR/90, Kanglatongbi, MANIPUR"
HANUMAN PRASAD GRAMIN VIKAS SEWA SAMITI,9431082520,hpgvss@yahoo.com,"136/1995-1996, Muzaffarpur, BIHAR"
THE RURAL DEVELOPMENT WOMEN ORGANISATION,9615946466,rudwo.maipur@gmail.com,"39 OF 1990, WANGBAL, MANIPUR"
HEALTH CARE AND SOCIAL WELFARE SOCIETY,8885288088,anandhcsws@yahoo.com,"295, NELLORE, ANDHRA PRADESH"
Research Institute For Human And Agricultural Development,9433206760,rihad.org@gmail.com,"191, , WEST BENGAL"
THE VOLUNTEERS UNION FOR RURAL FORWARD AND INTEGRITY,9856031296,vurfi.manipur@gmail.com,"156, WANGJING, MANIPUR"
POOR PEOPLES DEVELOPMENT SOCIETY,9959488264,ppdsngobkpt@gmail.com,"364, Chinnagottigallu, ANDHRA PRADESH"
Bharat Sevashram Sangha Kusuria Branch,8016462979,bsskusuria@gmail.com,"5679/61, Ranaghat, WEST BENGAL"
Polymers Educational Society,9849353898,polymersociety@rediffmail.com,"78/1986, Nellore, ANDHRA PRADESH"
NATIONAL CHARITABLE WELFARE SOCIETY,9793089786,ncwsngo@gmail.com,"392/2016-17, PRTAPGARH, UTTAR PRADESH"
Integrated Development Society,9437756117,idskoraput@gmail.com,"565-10/1990-1991, Koraput, ORISSA"
Sarvangeen Vikas Sansthan Association for integrated development AID,9793198009,aid4u@rediffmail.com,"1494/1988-1989, Gorakhpur, UTTAR PRADESH"
Vihar Samaj Kalyan Sansthan,9430146172,viskasan1@yahoo.co.in,"978/2006-07, Ranchi, JHARKHAND"
Vanapa Society,9862316768,vanapasociety@gmail.com,"MSR-65 OF 07.09.2007, Aizawl, MIZORAM"
WOSW,9437180903,wosw96@yahoo.com,"KJR-2473-12, KEONJHAR, ORISSA"
Kathakriti,9836444886,tgkathakriti@gmail.com,"S/61292, Kolkata, WEST BENGAL"
Bihar Voluntary Health Association,9835642058,bvhapatna@gmail.com,"53, Patna, BIHAR"
RAM Manohar Educational  Samudai Bal Vikas Society,9899804012,rmesociety2015@gmail.com,"s32391, delhi, DELHI"
